as_of,B13779,B14678,B09156,B25037,B19389,B19569,B23689,B13231,B23166,B06011,B13582,B26020,B08422,B21794,B17112,B08466,B05011,B05901,B01060,B21050,B24329,B00496,B01855,B21046,B16175,B11079,B23422,B12752,B18263,B01061,B06391,B18900,B01343,B20889,B10332,B08453,B08620,B25209,B07369,B00698,B00056,B05848,B10640,B03784,B14200,B10090,B08417,B23744,B09513,B23853,B14562,B20421,B21552,B18562,B23646,B11225,B18804,B15382,B25119,B12602,B13661,B09934,B06127,B02943,B03731,B03952,B03459,B04369,B21505,B01637,B06905,B15668,B05924,B23372,B15619
1999-12-31,20.2885,,18.9567,,7827.79,,17.5311,,,26.7517,,58.083,119.221,,12.849,49.8231,37.5741,14.5174,18.1947,11.0095,45.6308,,,8.4194,10.888,,13.0337,10.1336,,151.279,11.7592,,,,28.2725,,,,,,,60.4869,,,21.8682,,26.4144,26.3589,,10.9203,19.8325,,24.4703,,12.0928,,29.2142,,,,26.2855,25.2858,,196.429,,,436.476,14.55,23.3542,,62.0509,267.199,,,53.2148
2000-01-01,20.2885,,18.9567,,7827.79,,17.5311,,,26.7517,,58.083,119.221,,12.849,49.8231,37.5741,14.5174,18.1947,11.0095,45.6308,,,8.4194,10.888,,13.0337,10.1336,,151.279,11.7592,,,,28.2725,,,,,,,60.4869,,,21.8682,,26.4144,26.3589,,10.9203,19.8325,,24.4703,,12.0928,,29.2142,,,,26.2855,25.2858,,196.429,,,436.476,14.55,23.3542,,62.0509,267.199,,,53.2148
2000-01-02,20.2885,,18.9567,,7827.79,,17.5311,,,26.7517,,58.083,119.221,,12.849,49.8231,37.5741,14.5174,18.1947,11.0095,45.6308,,,8.4194,10.888,,13.0337,10.1336,,151.279,11.7592,,,,28.2725,,,,,,,60.4869,,,21.8682,,26.4144,26.3589,,10.9203,19.8325,,24.4703,,12.0928,,29.2142,,,,26.2855,25.2858,,196.429,,,436.476,14.55,23.3542,,62.0509,267.199,,,53.2148
2000-01-03,20.2885,,18.3206,,7704.46,,17.2178,,,26.3193,,57.8565,119.921,,12.7188,49.273,37.2206,14.1776,17.9745,10.8556,45.1893,,,8.33835,10.7538,,12.8612,9.8135,,149.719,11.5482,,,,28.0588,,,,,,,59.5253,,,21.557,,26.6494,25.9891,,10.6968,19.6789,,24.075,,11.8271,,29.035,,,,25.6081,24.5747,,194.32,,,431.505,14.38,23.0128,,60.8792,261.091,,,52.6983
2000-01-04,20.2885,,17.9974,,7418.31,,16.7897,,,25.5627,,55.1122,112.903,,12.2782,48.2607,36.3681,13.8996,17.354,10.6862,43.4677,,,8.26743,10.4339,,12.5364,9.50339,,143.273,11.2969,,,,26.98,,,,,,,56.9817,,,20.7604,,25.2331,25.1968,,10.452,18.9519,,23.0676,,11.5961,,27.6728,,,,24.8095,24.1234,,189.197,,,414.271,14.18,22.5703,,59.1748,253.864,,,50.6881
2000-01-05,20.2885,,18.0912,,7421.6,,16.8628,,,25.7789,,54.7659,112.484,,12.3082,48.3047,36.4928,13.8996,17.4041,10.717,43.5413,,,8.24717,10.4855,,12.6785,9.5334,,141.921,11.3572,,,,26.9698,,,,,,,56.5164,,,20.7853,,24.9198,25.4081,,10.4733,19.0031,,23.0549,,11.7116,,27.4219,,,,25.0723,24.2875,,189.317,,,413.194,14.11,22.8358,,59.228,255.697,,,50.7998
2000-01-06,20.2885,,18.2581,,7451.2,,16.9255,,,26.0761,,54.0731,109.664,,12.3483,48.3707,36.472,14.085,17.5242,10.7786,43.5854,,,8.33835,10.4133,,12.78,9.49339,,141.714,11.4376,,,,26.8477,,,,,,,56.2838,,,20.7978,,24.4999,25.6722,,10.5052,18.9929,,23.0931,,11.7347,,27.0993,,,,25.3655,24.4789,,190.161,,,414.022,14.13,23.2151,,57.8964,255.493,,,50.8556
2000-01-07,20.2885,,18.6439,,7625.52,,17.1865,,,26.5355,,56.0581,113.723,,12.6788,49.1849,37.2206,14.3475,18.1046,10.9017,44.7773,,,8.36875,10.5784,,13.0439,9.8135,,147.224,11.6185,,,,27.4685,,,,,,,58.5327,,,21.3081,,26.0698,26.2268,,10.6649,19.5048,,23.9347,,11.9542,,28.1627,,,,26.4574,24.9986,,193.898,,,429.268,14.38,23.683,,59.015,259.361,,,52.2237
2000-01-08,20.2885,,18.6439,,7625.52,,17.1865,,,26.5355,,56.0581,113.723,,12.6788,49.1849,37.2206,14.3475,18.1046,10.9017,44.7773,,,8.36875,10.5784,,13.0439,9.8135,,147.224,11.6185,,,,27.4685,,,,,,,58.5327,,,21.3081,,26.0698,26.2268,,10.6649,19.5048,,23.9347,,11.9542,,28.1627,,,,26.4574,24.9986,,193.898,,,429.268,14.38,23.683,,59.015,259.361,,,52.2237
2000-01-09,20.2885,,18.6439,,7625.52,,17.1865,,,26.5355,,56.0581,113.723,,12.6788,49.1849,37.2206,14.3475,18.1046,10.9017,44.7773,,,8.36875,10.5784,,13.0439,9.8135,,147.224,11.6185,,,,27.4685,,,,,,,58.5327,,,21.3081,,26.0698,26.2268,,10.6649,19.5048,,23.9347,,11.9542,,28.1627,,,,26.4574,24.9986,,193.898,,,429.268,14.38,23.683,,59.015,259.361,,,52.2237
